city,state,latitude,longitude,population,is_state_capital,cafes,universities,malls,hotels,airports,cafe_density,university_density,mall_density,hotel_density,expansion_score,population_score,cafe_density_score,mall_density_score,university_density_score,hotel_density_score,rank
Kochi,Kerala,9.9667,76.2833,677381,False,304,13,29,412,1,44.8787314672245,1.9191562798484163,4.28119477812339,60.822491330580576,68.39200455894769,0.0,1.0,1.0,0.8928003039298459,1.0,1
Delhi,Delhi,28.66,77.23,32226000,True,436,34,75,396,4,1.3529448271581952,0.1055048718426115,0.2327313349469372,1.2288214485198288,46.741268908716,1.0,0.02549697294650324,0.024519920357158297,0.02841453270710933,0.01872281873036109,2
Thiruvananthapuram,Kerala,8.4875,76.9525,743691,True,150,13,21,250,1,20.16966724082986,1.7480378275385882,2.8237534137161804,33.616112068049766,41.92965331779403,0.002101835265752837,0.4467863824403436,0.6488284905664761,0.8112452957748286,0.5520161921874611,3
Mumbai,Maharashtra,19.0758,72.8775,24973000,True,384,28,58,257,2,1.5376606735274096,0.1121210907780402,0.2322508308973691,1.029111440355584,36.51129792198831,0.7701008719272308,0.02963259381236139,0.024404142572544373,0.031567820864819456,0.015434367553070214,4
Hyderabad,Telangana,17.3617,78.4747,10494000,True,293,225,118,231,6,2.7920716599961883,2.144082332761578,1.124452067848294,2.20125786163522,35.580036603545814,0.31115843771164753,0.057717722143108684,0.23938065054749785,1.0,0.034735084199400065,5
Kolkata,West Bengal,22.5675,88.37,21747000,True,121,40,40,122,2,0.556398583712696,0.1839334161033705,0.1839334161033705,0.5609969191152803,31.56405277256133,0.6678459998518477,0.0076630224232244705,0.012762027905354656,0.0657935557197255,0.0077263324744594845,6
Pune,Maharashtra,18.5211,73.8553,8231000,False,376,61,68,162,4,4.568096221601263,0.7411007168023326,0.82614506135342,1.968169116753736,21.84041498285081,0.23942788113799846,0.09748130702022438,0.16750337005874957,0.33133934075253557,0.030897014367224272,7
Chennai,Tamil Nadu,13.0825,80.275,12395000,True,210,9,21,228,2,1.6942315449778138,0.072609923356192,0.1694231544977813,1.8394513916901976,18.206253555469836,0.3714146410021941,0.03313807412541267,0.009265770289266883,0.012736809142783178,0.02877753143086946,8
Ranchi,Jharkhand,23.3556,85.3347,1073440,True,12,11,18,33,1,1.117901326576241,1.0247428826948874,1.6768519898643612,3.0742286480846626,16.00936873825776,0.01255392510207816,0.0202345613857316,0.37248179558343847,0.4665231204105605,0.0491095356193774,9
Indore,Madhya Pradesh,22.7186,75.855,1994397,False,64,27,14,42,1,3.2089899854442216,1.3537926501092812,0.7019665593159236,2.1058996779477708,15.988376397804554,0.041745599070437914,0.0670521466658165,0.13758247370938706,0.6233481506901623,0.033164903844926194,10
Chandigarh,Chandigarh,30.7364,76.7883,1055450,True,21,7,15,72,2,1.9896726514756735,0.663224217158558,1.4211947510540528,6.821734805059453,13.272220661903756,0.01198369411985989,0.03975273349915444,0.31088100625278897,0.29422342205527735,0.11081646331462605,11
Ahmedabad,Gujarat,23.0219,72.5797,8009000,False,45,11,16,48,1,0.5618678986140592,0.1373454863278811,0.1997752528405543,0.5993257585216631,11.72124102890592,0.23239112304725604,0.007785475441049562,0.016579129474623644,0.04358976097124305,0.008357460169204025,12
Raipur,Chhattisgarh,21.2379,81.6337,1010087,True,10,8,12,8,1,0.9900137314904558,0.7920109851923647,1.188016477788547,0.7920109851923647,11.452124264369305,0.010545818186209673,0.01737127370837649,0.25469653928930597,0.3556031609173274,0.011530240373442541,13
Jaipur,Rajasthan,26.915,75.82,3073350,True,105,8,24,181,1,3.4164673727365904,0.2603022760180259,0.7809068280540779,5.8893389949078365,10.829535318202527,0.07594528939602713,0.07169737786252156,0.1566031863122169,0.10219093372927036,0.09546351166348735,14
Patna,Bihar,25.61,85.1414,2046652,True,38,6,23,45,1,1.8566908297062716,0.2931617099536218,1.123786554822217,2.1987128246521634,9.77158531699468,0.04340193147598632,0.036775390690188876,0.23922029472144357,0.11785173106826578,0.034693177286771536,15
Lucknow,Uttar Pradesh,26.847,80.947,3382000,True,31,15,20,64,2,0.9166173861620344,0.4435245416913069,0.5913660555884093,1.8923713778829092,9.608859523299138,0.08572860193975528,0.015727995867388076,0.11093320548726775,0.18951461606429887,0.029648918861561062,16
Bhopal,Madhya Pradesh,23.25,77.4167,1798218,True,33,9,12,48,1,1.8351501319639776,0.5004954905356302,0.6673273207141737,2.6693092828566947,8.765203617307797,0.03552729201870928,0.036293113934841574,0.12923612509977964,0.21666695489673118,0.04244208026482806,17
Surat,Gujarat,21.205,72.84,6538000,False,14,3,11,6,1,0.2141327623126338,0.0458855919241358,0.168247170388498,0.0917711838482716,8.539058760873553,0.1857646764189583,0.0,0.008982416101021495,0.0,0.0,18
Nagpur,Maharashtra,21.1497,79.0806,2405665,False,27,11,13,25,1,1.122350784502414,0.4572540233157983,0.5403911184641254,1.039213689354087,8.043420319440152,0.054781605495948966,0.020334180727563586,0.09865075896805928,0.196058083298459,0.015600712509528738,19
Coimbatore,Tamil Nadu,11.0008,76.9633,2136916,False,59,11,6,52,1,2.760988265331908,0.514760524044932,0.280778467660872,2.433413386394224,7.966882665927997,0.046263039279151964,0.057021793027756264,0.0360969103693555,0.22346566601454954,0.038557787506689846,20
Kanpur,Uttar Pradesh,26.4725,80.3311,4581268,False,25,6,6,18,3,0.5457004479982398,0.1309681075195775,0.1309681075195775,0.3929043225587326,6.41181390198949,0.12374192987655022,0.007423500832867504,0.0,0.04055030395361455,0.004958497741882349,21
Vadodara,Gujarat,22.3,73.2,3500000,False,18,6,6,10,1,0.5142857142857143,0.1714285714285714,0.1714285714285714,0.2857142857142857,5.318523282045384,0.08946886074474449,0.006720153335667877,0.009748976892172339,0.059833750125037506,0.0031934925421174916,22
